group,A,B,C,D,E,K,V
1,40,49,51,42,44,45,45
1,59,55,41,43,44,55,48
1,41,54,53,54,59,53,54
1,55,58,53,41,58,52,59
1,53,59,49,42,55,53,48
1,51,46,41,60,44,46,57
1,41,51,42,42,42,46,56
1,60,43,40,46,53,42,43
1,60,54,56,50,45,41,44
1,54,40,52,43,45,47,49
1,51,40,57,56,57,48,51
1,40,41,58,41,52,42,41
1,53,44,60,55,59,53,51
1,56,42,44,51,46,47,56
1,44,43,47,44,54,52,57
1,48,50,45,51,50,41,60
1,55,60,56,50,44,42,40
1,45,56,46,46,43,59,43
1,45,57,50,43,54,42,56
1,50,51,52,59,57,56,40
1,53,42,51,40,54,56,59
1,54,59,59,53,50,49,40
1,54,60,50,44,41,50,45
1,40,52,48,50,56,59,50
1,45,47,49,44,43,46,41
1,40,44,50,40,52,49,47
1,43,47,58,46,51,44,59
1,41,41,42,55,55,45,56
1,46,48,48,55,42,42,56
1,54,43,49,40,59,46,45
1,45,55,40,54,53,54,56
1,53,47,57,48,58,40,44
1,47,48,46,51,41,46,53
1,43,49,41,45,57,55,40
1,43,42,57,51,59,52,58
1,42,44,53,54,60,54,49
1,51,48,49,56,40,56,48
1,41,45,45,57,55,48,46
1,58,47,40,60,56,57,56
1,53,54,41,46,44,50,45
1,49,48,59,41,40,57,60
1,52,55,50,40,44,46,42
1,42,54,45,54,57,48,54
1,46,60,43,59,42,41,44
1,48,52,47,50,54,47,45
1,52,44,51,45,50,40,51
1,53,44,46,43,52,49,40
1,60,52,48,47,51,56,47
1,50,52,58,45,50,53,51
1,54,48,49,47,58,60,44
1,54,51,55,44,55,50,58
1,60,54,44,45,48,59,58
1,60,45,60,51,48,42,57
1,45,53,48,42,55,46,59
1,44,51,53,60,52,40,43
1,43,53,40,56,48,60,47
1,60,41,45,44,42,50,43
1,44,55,42,43,46,42,51
1,50,41,58,56,55,47,59
1,55,46,43,53,41,57,40
1,53,59,41,52,54,56,44
1,46,56,53,46,53,52,55
1,47,43,52,48,45,50,42
1,57,58,55,42,43,50,49
1,59,44,51,50,57,59,49
1,49,58,44,47,57,49,42
1,53,59,57,57,40,52,42
1,48,57,50,50,42,52,48
1,52,53,47,43,52,54,45
1,56,50,58,41,60,49,44
1,45,49,44,58,45,53,44
1,52,55,55,45,54,49,55
1,56,51,44,41,57,55,57
1,42,42,46,55,55,60,49
1,48,40,51,56,51,55,44
1,41,52,59,40,49,47,52
1,41,52,57,50,52,45,53
1,53,53,56,57,53,50,41
1,46,41,44,52,53,51,52
1,48,46,53,58,59,47,54
1,46,45,52,48,43,46,54
1,56,50,55,40,51,59,43
1,40,60,40,46,42,45,50
1,43,42,56,42,52,45,52
1,58,41,48,57,52,55,50
1,43,55,45,47,44,43,57
1,48,46,49,49,43,47,40
1,49,41,49,41,54,60,56
1,49,47,50,55,44,53,54
1,42,50,51,41,57,60,42
1,46,50,48,55,49,43,52
1,40,40,53,42,59,40,59
1,50,44,45,59,41,47,57
1,53,48,50,50,41,60,44
1,44,40,56,49,47,40,45
1,47,45,42,51,42,48,52
1,49,47,51,55,52,46,48
1,48,52,43,58,54,52,43
1,57,41,40,53,44,45,49
1,54,56,54,59,59,45,51
1,50,44,57,44,53,45,49
1,47,42,48,56,42,59,48
1,53,54,52,56,45,45,58
1,60,56,57,60,49,46,54
1,49,44,43,42,53,42,53
1,41,56,43,59,56,40,47
1,56,56,59,50,58,57,46
1,40,46,46,42,41,41,55
1,56,48,60,53,47,59,57
1,60,57,47,48,52,59,48
1,58,58,48,40,45,56,52
1,47,42,45,53,57,40,46
1,53,53,59,45,55,46,52
1,59,40,48,45,59,41,55
1,47,45,40,46,40,54,51
1,56,42,40,55,56,50,41
1,47,53,43,58,52,47,42
1,51,50,54,44,46,41,55
1,43,48,45,58,42,50,40
1,44,55,45,51,49,43,53
1,55,43,51,52,44,44,54
1,52,42,56,50,52,41,47
1,56,58,55,54,46,40,57
1,40,47,49,54,43,49,56
1,48,45,51,53,53,56,44
1,58,60,51,50,47,41,43
1,54,51,52,57,58,41,50
1,42,52,51,44,45,57,40
1,47,48,40,49,56,51,57
1,51,60,48,54,43,51,58
1,43,46,44,59,42,48,52
1,45,47,52,50,45,54,48
1,55,59,42,49,57,42,45
1,40,59,47,58,43,57,50
1,46,43,52,60,50,47,42
1,57,44,45,40,42,54,49
1,57,50,40,48,46,60,58
1,40,53,58,44,54,44,47
1,49,48,60,48,52,55,53
1,41,46,48,51,57,52,43
1,58,54,59,60,46,59,58
1,45,50,40,40,41,54,49
1,41,47,45,44,47,49,42
1,45,51,56,52,50,53,60
1,53,44,44,58,50,45,47
1,60,43,44,43,44,46,40
1,50,59,46,56,53,54,53
1,42,51,44,42,53,43,42
1,51,57,40,48,51,59,51
1,50,53,41,54,60,43,52
1,55,44,54,44,45,59,54
1,44,59,42,53,40,53,54
1,41,45,46,55,40,50,60
1,46,57,44,58,47,60,58
1,47,59,48,60,56,48,55
1,46,41,58,43,55,41,43
1,54,58,40,45,50,58,51
1,58,59,45,51,59,44,55
1,42,44,53,43,56,43,60
1,41,58,46,48,60,47,40
1,55,52,56,51,54,40,50
1,43,48,57,42,53,56,46
1,41,41,44,50,55,58,51
1,50,42,53,52,40,54,43
1,41,43,48,57,48,52,48
1,53,57,53,58,41,46,42
1,50,49,52,60,46,56,60
1,59,40,43,58,53,55,53
1,45,51,49,43,42,42,44
1,45,41,49,49,48,54,58
1,50,57,50,41,46,50,47
1,51,41,43,44,45,52,57
1,59,59,41,60,55,51,53
1,55,42,40,57,60,57,50
1,59,56,58,54,41,60,47
1,42,50,47,50,52,47,42
1,40,58,45,58,56,49,58
1,41,60,46,51,47,54,54
1,54,48,56,44,40,45,59
1,46,57,45,44,60,55,60
1,49,51,42,42,50,47,57
1,60,55,55,41,50,43,56
1,60,55,53,60,43,52,40
1,42,54,48,57,59,52,53
1,47,45,48,56,46,50,50
1,56,52,47,54,60,50,46
1,43,41,53,43,40,49,43
1,43,51,56,50,40,41,54
1,53,57,59,52,52,58,58
1,51,49,50,49,46,56,54
1,57,59,55,51,44,42,60
1,53,54,41,49,56,41,49
1,47,50,50,54,59,45,59
1,54,49,40,41,42,59,60
1,41,56,56,41,54,59,41
1,56,53,42,56,60,59,45
1,60,51,41,56,48,53,60
1,42,56,53,44,58,58,44
1,48,40,44,41,42,47,59
1,50,41,44,42,52,59,43
1,58,57,55,49,58,43,57
1,51,52,40,40,52,56,59
1,54,53,56,51,49,53,50
1,41,53,47,45,47,42,60
1,60,43,57,43,45,44,49
1,51,52,48,49,51,46,51
1,53,46,51,56,58,41,42
1,45,56,55,45,50,55,54
1,54,51,59,58,47,42,48
