group,A,B,C,D,E,K,V
1,65,47,26,51,35,80,44
1,61,49,62,54,19,87,40
1,67,69,32,53,24,75,48
1,60,44,31,54,18,69,37
1,66,48,66,51,30,89,47
1,68,36,32,51,33,60,33
1,66,58,67,50,22,96,35
1,60,41,42,51,10,83,43
1,65,64,65,53,37,77,34
1,68,63,66,54,30,72,42
1,61,64,55,52,32,69,36
1,69,45,52,53,23,75,37
1,63,39,51,51,29,64,34
1,68,57,63,52,11,92,38
1,67,59,65,50,37,62,35
1,69,44,45,50,15,75,45
1,61,53,37,51,15,74,36
1,63,68,49,52,37,96,43
1,64,48,26,50,19,99,43
1,66,50,41,54,12,80,40
0,43,66,24,43,35,67,23
0,46,37,24,46,29,98,23
0,47,58,36,40,29,62,26
0,49,64,47,48,17,68,27
0,47,63,39,45,24,83,17
0,42,63,24,43,28,63,16
0,41,55,51,49,19,91,10
0,41,37,37,40,17,95,22
0,45,58,27,41,32,63,15
0,40,39,64,44,26,82,13
0,48,57,50,44,24,68,19
0,43,45,21,44,34,99,24
0,42,68,20,45,14,86,17
0,40,39,23,42,35,90,20
0,48,58,23,43,11,82,14
0,41,58,47,43,25,71,21
0,45,47,23,42,25,97,25
0,43,60,41,48,10,90,19
0,45,46,33,48,14,76,19
0,43,64,44,40,10,74,28
